nama_kabupaten,latitude,longitude,year,month,temperature_2m_max_monthly_mean,temperature_2m_min_monthly_mean,temperature_2m_mean_monthly_mean,precipitation_sum_monthly_sum,rain_sum_monthly_sum,precipitation_hours_monthly_sum,windspeed_10m_max_monthly_mean,shortwave_radiation_sum_monthly_sum,et0_fao_evapotranspiration_monthly_mean,relative_humidity_2m_max_monthly_mean,relative_humidity_2m_min_monthly_mean,temp_range_monthly_mean,humidity_mean_monthly_mean,drought_index_monthly_mean
Kab. Bandung,-7.04,107.59,2019,1,27.72258064516129,22.093548387096774,24.225806451612904,313.6,313.6,320.0,9.287096774193548,503.92,3.2870967741935484,96.48387096774194,72.74193548387096,5.629032258064516,84.61290322580645,3.3473760273671775
Kab. Bandung,-7.04,107.59,2019,2,28.542857142857144,22.3,24.592857142857145,413.6,413.6,323.0,6.732142857142857,489.55,3.5960714285714284,96.21428571428571,69.75,6.242857142857143,82.98214285714286,4.297218861826526
Kab. Bandung,-7.04,107.59,2019,3,28.212903225806453,22.06451612903226,24.34193548387097,368.6,368.6,413.0,7.477419354838709,469.85,3.150967741935484,95.51612903225806,70.0,6.1483870967741945,82.75806451612904,4.429498572892178
Kab. Bandung,-7.04,107.59,2019,4,29.1,22.783333333333335,25.1,386.5,386.5,350.0,5.47,483.91,3.353,95.8,69.23333333333333,6.316666666666666,82.51666666666667,4.174418261352428
Kab. Bandung,-7.04,107.59,2019,5,29.458064516129035,22.274193548387096,25.187096774193545,234.4,234.4,263.0,5.393548387096774,570.42,3.763225806451613,94.16129032258064,64.90322580645162,7.183870967741935,79.53225806451613,2.1700829406071636
Kab. Bandung,-7.04,107.59,2019,6,28.636666666666667,20.52,24.10666666666667,44.7,44.7,116.0,6.260000000000001,569.4,3.7743333333333333,94.7,62.733333333333334,8.116666666666667,78.71666666666667,0.4400684957499444
Kab. Bandung,-7.04,107.59,2019,7,28.664516129032258,19.770967741935483,23.738709677419354,31.1,31.1,75.0,7.061290322580645,622.71,4.006451612903226,93.03225806451613,55.32258064516129,8.893548387096773,74.1774193548387,0.27173139477179603
Kab. Bandung,-7.04,107.59,2019,8,28.748387096774195,19.480645161290322,23.67096774193548,39.4,39.4,96.0,6.919354838709677,657.4,4.269354838709678,92.03225806451613,53.16129032258065,9.267741935483869,72.59677419354838,0.3372593896018919
Kab. Bandung,-7.04,107.59,2019,9,29.66,19.933333333333334,24.36,33.5,33.5,80.0,7.413333333333333,716.28,4.865666666666667,93.03333333333333,49.666666666666664,9.726666666666667,71.35,0.2667264063300206
Kab. Bandung,-7.04,107.59,2019,10,29.322580645161292,20.629032258064516,24.538709677419355,180.6,180.6,182.0,6.583870967741936,718.75,4.72741935483871,94.03225806451613,56.03225806451613,8.693548387096774,75.03225806451613,1.6181530679408236
