nama_kabupaten,latitude,longitude,year,month,temperature_2m_max_monthly_mean,temperature_2m_min_monthly_mean,temperature_2m_mean_monthly_mean,precipitation_sum_monthly_sum,rain_sum_monthly_sum,precipitation_hours_monthly_sum,windspeed_10m_max_monthly_mean,shortwave_radiation_sum_monthly_sum,et0_fao_evapotranspiration_monthly_mean,relative_humidity_2m_max_monthly_mean,relative_humidity_2m_min_monthly_mean,temp_range_monthly_mean,humidity_mean_monthly_mean,drought_index_monthly_mean
Kab. Bandung,-7.04,107.59,2014,1,25.861290322580647,21.11935483870968,22.92258064516129,400.0,400.0,426.0,9.396774193548387,424.09000000000003,2.7106451612903224,98.45161290322581,77.90322580645162,4.741935483870968,88.1774193548387,5.792468115455046
Kab. Bandung,-7.04,107.59,2014,2,26.52857142857143,21.364285714285717,23.435714285714287,247.1,247.1,317.0,9.367857142857144,428.41,3.0625,98.21428571428571,74.21428571428571,5.164285714285714,86.21428571428571,3.669103093717031
Kab. Bandung,-7.04,107.59,2014,3,27.741935483870968,21.787096774193547,24.09032258064516,414.8,414.8,347.0,6.470967741935484,522.29,3.414193548387097,97.0,72.2258064516129,5.9548387096774205,84.61290322580645,3.966113080419675
Kab. Bandung,-7.04,107.59,2014,4,28.85666666666667,22.096666666666668,24.586666666666666,371.9,371.9,308.0,6.266666666666667,504.78,3.4650000000000003,95.2,68.43333333333334,6.760000000000001,81.81666666666666,3.8207331754821605
Kab. Bandung,-7.04,107.59,2014,5,29.22258064516129,22.23548387096774,24.92258064516129,285.1,285.1,250.0,5.574193548387097,535.74,3.5387096774193547,95.96774193548387,67.38709677419355,6.9870967741935495,81.6774193548387,2.7204295328425854
Kab. Bandung,-7.04,107.59,2014,6,28.456666666666667,21.933333333333334,24.5,164.7,164.7,238.0,5.463333333333334,464.65,3.1390000000000002,95.63333333333334,68.53333333333333,6.5233333333333325,82.08333333333333,2.106741301937851
Kab. Bandung,-7.04,107.59,2014,7,27.741935483870968,21.31935483870968,23.81935483870968,223.6,223.6,321.0,5.303225806451613,501.54,3.230645161290323,96.2258064516129,68.09677419354838,6.422580645161291,82.16129032258064,2.873529987402586
Kab. Bandung,-7.04,107.59,2014,8,27.883870967741935,20.248387096774195,23.53548387096774,106.8,106.8,223.0,6.041935483870968,620.87,3.9629032258064516,96.41935483870968,64.6774193548387,7.635483870967741,80.54838709677419,0.9217852272639023
Kab. Bandung,-7.04,107.59,2014,9,29.14333333333333,19.77,23.836666666666666,31.0,31.0,133.0,7.136666666666667,691.47,4.653666666666666,94.63333333333334,54.333333333333336,9.373333333333333,74.48333333333333,0.2596899887171507
Kab. Bandung,-7.04,107.59,2014,10,29.187096774193545,21.04516129032258,24.461290322580645,149.0,149.0,246.0,6.638709677419355,663.91,4.393870967741936,93.96774193548387,56.903225806451616,8.141935483870968,75.43548387096774,1.2849949584747928
Kab. Bandung,-7.04,107.59,2014,11,28.703333333333333,21.703333333333333,24.403333333333332,427.9,427.9,349.0,5.783333333333333,511.29,3.5256666666666665,96.0,65.86666666666666,7.0,80.93333333333334,4.783090915095113
Kab. Bandung,-7.04,107.59,2014,12,27.983870967741936,22.219354838709677,24.325806451612905,590.4,590.4,473.0,7.216129032258064,416.12,2.8225806451612905,95.41935483870968,72.0,5.764516129032258,83.70967741935483,7.517999287557641
Kab. Bandung,-7.04,107.59,2015,1,27.125806451612902,21.309677419354838,23.54516129032258,331.6,331.6,370.0,9.161290322580646,499.71,3.234516129032258,97.25806451612904,72.16129032258064,5.816129032258065,84.70967741935483,3.768617964396199
Kab. Bandung,-7.04,107.59,2015,2,27.017857142857142,21.407142857142855,23.585714285714285,505.3,505.3,362.0,7.567857142857143,459.06,3.3007142857142857,97.46428571428571,72.75,5.610714285714286,85.10714285714286,7.438415511147583
Kab. Bandung,-7.04,107.59,2015,3,27.700000000000003,21.551612903225806,23.94193548387097,424.1,424.1,404.0,7.819354838709677,470.69,3.124516129032258,96.16129032258064,71.12903225806451,6.148387096774194,83.64516129032258,4.657049033253977
